## DECISION (576)
KEY                                                                 TIER   N  IN  DATE        MESSAGE
design/libs-public-internal-boundary                                mid    1   2  2026-05-13  Decision (2026-05-13, settled with scrivener): convention for the public/internal API boundary in loops/libs/*. (1) Public API = what each lib's __init__.py exports via explicit __all__. Submodules without leading underscore (e.g. sign.jwt, sign.keys, sign.jwks) are public; underscore-prefixed modules (_compat.py, _serialization.py) are internal and have no stability contract. (2) Each lib's CLAUDE.md documents its public surface and stability posture. (3) For utility libs (libs/sign), breaking changes ship in a tagged loops release; each consumer bumps their pyproject.toml pin when ready — cutover is sequenced via coordinated upgrade, not atomic multi-repo commits. (4) This is utility-lib stability posture; protocol primitives (atoms.Fact, engine.Peer/Grant) have a stricter contract not covered by this decision. Convention propagates to future libs/* carves.
paradigm/kind-subtype-vs-peer-kind-discriminator                    mid    1   2  2026-05-13  Substrate framing surfaced 2026-05-13 #vouch-impl (scrivener msg 1613, vouch ADR-0001 revision residue). Verdict: kind_subtype is a structural-discriminator-within-a-kind. If the discriminator changes payload shape, auth shape, or write semantics, the operations want to be peer kinds, not subtypes. Vouch's original ADR-0001 declared kind_subtype: issued | rescinded | synthesized within kind=vouch — lumped operations that have (a) different payload shapes (issuance has scope/audience/exp; rescission has target_jti+reason), (b) different auth shapes (capability-projecting vs identity-asserting per paradigm/capability-projecting-vs-identity-asserting-writes), (c) different write semantics (binds new capability vs asserts pre-existing relation). Three signals; the peer-kind redesign is the right resolution. Operational discriminator: when proposing kind_subtype, ask 'do the subtypes share payload shape, auth shape, and write semantics? If any differs significantly, they want peer kinds.' Tautological-subtype (kind_subtype always equals the only value the kind can have) is a hint the subtype was vestigial — vouch keeps kind_subtype=issued for issuance after the redesign tautologically, slated for broader cleanup. Reply at message 1614.
atoms/refs-are-vocabulary-not-fact-shape                            mid    1   2  2026-05-14  Self-correction surfaced 2026-05-13 #vouch-impl (scrivener catch, msg 1613). (Re-emit as decision; earlier observation-kind emit was orphaned because project vertex doesn't declare observation kind.) Fact dataclass slots are (kind, ts, payload, observer, origin) — confirmed at libs/atoms/src/atoms/fact.py. No refs field on Fact. Refs land at payload._refs (vertex_reader.py:984 does d.pop('_refs', ()) separating from semantic payload at read time). My msg-1612 framing of 'refs as substrate primitive' was imprecise; sharper framing: refs-as-vocabulary IS the substrate primitive (the convention of payload-level pointers + emit-time resolution + entity-ref graph index); refs-as-Fact-shape would be premature substrate. Implication for ref-walk substrate move: lifting walk_refs(from_fact, predicate) would walk payload refs by convention, not a Fact slot — even more consumer-policy than initially framed (convention-aware traversal not structural traversal). Practice note: when reasoning about substrate primitives, distinguish 'a slot on the dataclass' from 'a vocabulary convention with substrate support.' Refs are the latter.
design/vouch-as-first-bounded-substrate-consumer                    mid    1   2  2026-05-14  Vouch becomes loops' first cross-repo consumer of the FULL bounded substrate — not just engine.Peer + atoms.Fact + sqlite_store, but the substrate at idiomatic scale: multi-kind vertex (vouch, rescission, client, policy, attestation), Facts with non-trivial payloads (client credentials, scope tables, evidence claims), refs for ancestry tracking, projection-based runtime state (rescission index, client registry, policy registry, active grants), engine.delegate() for token-exchange scope narrowing. This is a real load test for loops' substrate readiness. The exploration audit confirmed support: multi-kind vertex via Vertex.register() at engine/vertex.py:239-263; arbitrary Fact payloads via Fact.of() at atoms/fact.py:108-111; SqliteStore.latest_by_kind_where() at sqlite_store.py:285-310 for client_id lookups; Projection class at engine/projection.py:24-77 for fold patterns. Known gaps (vouch builds bespoke): O(n) rescission lookup → vouch maintains per-vertex index during fold; ref-graph traversal is app-level; multi-field query via Python iteration. None blocking. The bfc.lol/docs/vouch-alignment/ plan committed at bfc.lol@f25512b (refined at dd245c5) is the implementation contract. Implication for loops: if vouch ships clean, the substrate is production-ready for OAuth-style flows. Three potential future loops improvements surface from this work: declarative ref-index for kind-based relationship queries, multi-field SQL query API, declarative kind-validation at emit time.
practice/emit-shape-discipline-hypothesis-vs-decision               mid    1   2  2026-05-15  Methodological learning surfaced during Phase 1 close 2026-05-15. **Pattern I caught in myself, flagged to Kyle in reflection:** I over-emitted paradigm-level facts as decisions tonight when several should have been hypotheses with status=proposed. **The specific over-reaches I want future-me to see:** (1) wire-identity-stability — emitted as framing/decision after T6 1810→1811 unwind (N=1 + within-arc 'confirmation' from T6 fixture-stability outcome). The fixture-stability is the SAME forcing-function arc, not an independent decision site. Confirmation requires N=2 from independent sites. (2) per-issuer-config-axes-vary — claimed N=2 from audience-optional-per-issuer + vocabulary-form-per-audience-ownership, but both surfaced within the T8/F12 dissolution work. Same arc, not independent. (3) consumer-owned-vs-vouch-owned-asymmetry — emitted as full paradigm decision after a single codex catch in one PLAN cycle. The catch is real and the framing is probably right; emitting as a decision rather than hypothesis overstates evidence strength. **The discipline correction:** when a framing is N=1 or within-arc-N=many, the right emit-kind is hypothesis with status=proposed and message articulating both the framing AND the missing evidence ('needs N=2 from independent decision sites; current evidence is forcing-function-internal'). Decision-kind is for emissions where the load-bearing fact IS the decision, not the framing-promotion. **Why this matters:** the fold-engine's hypothesis-status lifecycle (proposed → confirmed/rejected/refined) is the rigorous register for evidence-tracking. Emitting framings as decisions short-circuits the lifecycle — there's no status-update path to refine the claim if subsequent evidence weakens it. Future-me at session_start sees a decision-with-confidence rather than a hypothesis-with-evidence-bar. **The general axis (per discipline-as-axis-not-catch, May 14):** under-emit (lose patterns to forgetting) vs over-emit (noise in cumulative artifact, false confidence at session_start). The right position is calibrated to evidence-strength — N=2-independent earns decision; N=1-with-confirmed-prediction earns hypothesis-status=confirmed; N=1-without-confirmation earns hypothesis-status=proposed. **Practice for future sessions:** before emitting a paradigm-level fact, ask 'do I have evidence from two INDEPENDENT decision sites, or is this within-arc?' If within-arc, emit as hypothesis with status=proposed and message naming what would constitute confirming evidence. The hypothesis stays in the fold; subsequent independent-site evidence updates status to confirmed or refined. **Related growing edges:** suspicious-cleanness-as-overfit-check (alcove 2026-05-10 banked at paradigm/suspicious-cleanness-as-overfit-check) — tonight's catch is the structural-detection form firing on my own emit-pattern. The principle caught itself one layer up. Connects to M2 (degenerate-form-as-evidence-class) — some claims need N=2 full form; some admit degenerate-form-with-confirmation. The discriminating question is per-claim, not global. Refs: paradigm/cross-repo-consumer-runtime-contract (cumulative artifact accumulating these emissions), framing/wire-identity-stability-beats-internal-immutability (over-emitted instance), paradigm/consumer-owned-vs-vouch-owned-audience-asymmetry (over-emitted instance).
paradigm/identity-vs-history-separation-survives-signed-facts       mid    1   2  2026-05-16  Engine.peer's principle ('chain ancestry intentionally NOT reachable from a leaf Peer; walk the Fact ledger') was a separation-of-concerns choice in unsigned-facts world — defensible but aesthetic. Under signed-facts, the question becomes load-bearing and the principle GENERALIZES rather than breaks. Restated: identity (Peer) carries name + Grant, constant-shape; history (chain, ancestry, prior states) lives in fact-history (the ledger). Generalization under signed-facts: 'the ledger' includes wire-arrived credential bundles — a credential is a wire-shaped slice of the issuer's ledger, the relevant fact-history packaged for transit. From a receiver's perspective, the credential IS the fact-history-for-this-Peer. The principle gains structural rationale: identity stays constant-shape because it doesn't accrete history; history accumulates separately in records that scale with the work, not the identity. Putting chain on the identity would duplicate what the ledger (or credential-as-wire-ledger) already provides. Rejected alternative: observers-become-Peers (carry Grant on each fact) — would couple fact-immutability to identity-state-changes; the current leveling (observer-as-stable-name on fact, Peer-as-evaluation-time-construct, credential-as-wire-anchor) is right and gains clarity under signed-facts.
design/trace-diff-cumulative-replay                                 mid    1   2  2026-05-16  Phase 4 design verdict: --diff renders cumulative replay (option b), not per-fact snapshots (option a). Diff is computed against IMMEDIATE-PRIOR fact's accumulated state, not full N-fact replay — matches changelog reading ('what's new since the last entry') and is simpler to implement. Rendering rules: (1) first fact: 'field: . → value' for each payload field (everything's new); (2) scalars where payload[k] differs from accumulated prior: 'field: old → new'; (3) refs (list-valued): set diff against prior — '+added, -removed' lines; (4) unchanged scalars: DROP from render (they're the noise --diff exists to filter); (5) fields ABSENT from this fact's payload: not rendered (fold-merge means omission = preserve, not clear — so 'didn't change' not 'removed'); (6) message field special-cased: always show with → prefix even if not strictly diffable, because it carries the author's commentary. Implementation locality: diff computation lives in trace.py lens (pure render-side transform of fact list). fetch_trace stays unchanged. Plumbing: _run_trace adds --diff flag, injects data['_diff']=True into fetched result; trace_view branches on _diff key. Field-removed case (omit + clear sentinel) is v2 if/when explicit-clear lands per fold-merge-default decision.
design/trace-phase-6-dissolves-into-combine-support                 mid    1   2  2026-05-16  Phase 6 of the trace arc (--all cross-vertex) DISSOLVES into engine combine-source_facts support. Original design plan: '--all opt-in, default local' implied a separate flag to widen the trace across vertices. Actual shape after engine fix: the combine/discover aggregator vertex ALREADY provides cross-vertex semantics (transparent over child stores); once retain_facts populates source_facts through that path (engine commit pending), the existing combine vertex IS the cross-vertex trace target. From cwd, .loops/.vertex aggregates project + docs; 'sl trace thread/foo' walks the aggregator and surfaces facts from any child store. No --all flag needed. Discriminator that revealed the dissolution: the friction-guard message ('try sl trace <vertex> kind/key') stopped being useful — there was no asymmetric case left. Pattern: a planned feature dissolves when its precondition (combine-retain_facts) is lifted; the substrate already does what the consumer-side flag was meant to. Phase 6 marked complete via this dissolution. Inbound refs (--graph) and per-fact refs (vs lifetime union) remain v2 per original plan.
design/repo-owns-loops-discipline-lenses                            mid    2   1  2026-05-16  2026-05-16: session_landing.py + reconcile.py moved from ~/.config/loops/lenses/ to <repo>/.loops/lenses/, with symlinks back at original paths. Rationale: these lenses encode loops-the-project's session discipline (NOW/TOUCHED/UNPACK, staleness reconciliation) — not generic config. The asymmetry of repo-orthogonal lenses for a project that ships loops-the-CLI was the smell. Resolution path: .loops/lenses/ is vertex-local (priority 1) for .loops/project.vertex specifically — exactly the vertex that consumes session_landing. The symlinks at ~/.config/loops/lenses/ keep cross-repo resolution working via user-global tier (priority 3) for gruel.network etc. Verified both paths produce identical session_landing output. Active dependencies only: docs.py, readiness.py, state.py, session_start.py, comms.py left at ~/.config/loops/lenses/ — zero or doc-only active invocations. identity_prompt.py left at ~/.config/loops/identity/lenses/ — user-level identity rendering by design. Initial emit had path as <repo>/lenses/; corrected to .loops/lenses/ per Kyle — co-locating with the vertex it serves, not at repo root.
architecture/painted-detached-to-pypi-dep                           mid    1   2  2026-05-17  2026-05-17: painted detached from monorepo. Submodule libs/painted removed; working copy moved to ~/Code/painted (multi-push: github.com/kgruel/painted + git.gruel.network/gruel/painted). Monorepo consumes painted as PyPI versioned dep (painted>=0.1.8 in root pyproject; workspace member + workspace source entries removed from root and apps/{hlab,loops,tasks}). painted 0.1.8 published to PyPI as part of this arc. RATIONALE: reverses the 2026-04-26 'standalone retired, painted lives at libs/painted as submodule' move. Painted is now an external lib loops consumes, not a monorepo lib. Maximum separation: co-dev requires version bump + republish cycle. Local override during iteration via 'uv pip install -e ~/Code/painted' if needed. COST acknowledged: every painted-side change loops depends on requires publish + dep-floor-bump. BENEFIT: painted is a real external package, evolves on its own cadence; monorepo coherence boundary is tighter; vouch/other external consumers of painted (when they arrive) pull from the same PyPI source loops does. Migration verified: 1090 loops tests pass + 1378 painted standalone tests pass + hlab/tasks import OK + 'sl read project' round-trips after 'uv tool install . -e --force' (the tool venv reinstall is load-bearing — old venv had painted wired as workspace editable pointing at deleted libs/painted).
design/cli-refactor-action-int-return                               mid    1   2  2026-05-17  2026-05-17: dispatch.py:109 — when an action command's fn returns an int, dispatch surfaces it as the process exit code (return result). Legacy cmd_* functions in commands/ already return int exit codes (0/1/2); the Operation IR honors that contract. Action-shape Operation (render_lens=None) flow: fn() → if int, return; else show(value). Rationale: backward-compat with N callers in commands/ that signal failure via non-zero return; no rewriting needed during the cli refactor. Worker (cli-refactor subtask) emitted this in worktree but worktree-local store was freed at merge; re-emitting on canonical store with attribution. Verified by reading dispatch.py:97-115.
design/cli-refactor-fast-path-retired                               mid    1   2  2026-05-17  2026-05-17: cli/views/fold.py (NEW path) has no fast-path branch; the ~15ms savings _run_fold_fast bought (bypassing painted.cli import for --static --plain) traded for a single dispatch path. Rationale: dual-path complexity was THE source of yesterday's growing-edge 'exercising-catches-coherence-gaps' (4 bugs in one session, all 'works in path A, silently breaks in path B'). Trading 15ms cold-start for an asymmetric-pair bug class we keep finding is a clear win. Note: main.py:_run_fold (legacy) still has the fast-path branch at line 684, but it's no longer routed to (registry sends read→views/read.py→views/fold.py). Dead-code cleanup is a follow-up. Worker emitted in worktree; lost to per-worktree store; re-emitting on canonical store.
architecture/monorepo-scope-code-and-public-docs-only               mid    1   2  2026-05-17  2026-05-17: scope of the strange-loops monorepo narrowed. The repo carries code (libs/, apps/) + public docs (ARCHITECTURE.md, STRANGE-LOOPS.md, CHANGELOG.md, CLAUDE.md, etc.) + build config. Per-clone working state — vertex declarations (.loops/), Claude Code hooks/agents/settings (.claude/), experimental inquiries (experiments/), cross-cutting design notes (meta-discussion/), personal essays (docs/dev/) — is gitignored. RATIONALE: (a) painted is now external (PyPI), other consumers (vouch etc.) landing — tighter coherence boundary matters; (b) personal state was 80MB+ of accumulated vertex content + binary db blobs (meta.db, discord.db slipped past *.db rule); (c) fresh clones get the library not Kyle's accumulated state. IMPLEMENTATION: see commits 9562843 (untrack-personal-state, 276 files / 50518 deletions), 707c558 (painted-detach), d952a2d (CLAUDE.md split). DOWNSTREAM EFFECTS: (1) fresh-clone bootstrap requires loops init project; documented in CLAUDE.md; (2) subtask-worker-emissions-lost-on-worktree-free dissolved as side-effect — worktrees no longer carry .loops/, so emissions route via aggregation-combine to canonical store; (3) CLAUDE.md split into public + gitignored docs/dev/RUNBOOK.md so bilateral protocol stays personal while operational grammar stays public.
rendering/facts-disables-auto-zoom                                  mid    1   2  2026-05-19  --facts joins -q/-v/-vv as a loudness signal that disables auto-zoom. Rationale: --facts requests MORE per item (compression history, fact lineage, n counts); auto-zoom-DOWN to MINIMAL renders LESS (or nothing) per item. Direct contradiction — orthogonal-in-spec, anti-orthogonal-in-effect. --refs/--plain/--json remain truly orthogonal (visibility/format, not loudness). The classification: explicit content-requesting flags disable auto-zoom-DOWN. Patch at apps/loops/src/loops/cli/views/fold.py — auto_zoom gate adds 'and not args.facts'. Anchored by friction:auto-zoom-neutralizes-facts-flag.
design/emit-stdin-file-as-call-site-convention                      mid    1   2  2026-05-19  Stdin/file expansion for emit ships as explicit flags: --stdin FIELD (read sys.stdin into named field, TTY-guarded, single trailing newline stripped) and --file FIELD=PATH (action=append for multiples, ~ expanded, single trailing newline stripped). NOT inline magic syntax (=- / =@path) and NOT per-kind declaration (no prose_fields on LoopDef). Rationale: (1) Layer separation — the feature is call-site-semantic (user decides per invocation), not kind-semantic (vertex author decides per kind), so it does not belong in vertex declarations. See observation:pattern/declaration-vs-call-site-discriminator. (2) Inline magic syntax collides with legitimate @-bearing values — verified empirically that topic=foo@example.com and topic=https://user:pass@host/path store literally today. The @@ escape tax would apply to every email/URL going forward. Not vanishing-rare. (3) Explicit flags match loops house style (--strict, --quiet, --dry-run, --observer) — explicit-over-implicit. Three pivots arrived here: hardcode message= → declaration-driven via prose_fields → universal magic syntax → explicit flags. Each pivot dissolved more structure; final form has ZERO ast/loader/engine/atoms/vertex-file changes. Pure CLI-layer feature, ~40 LOC helper + ~80 LOC tests. Error model: multiple --stdin → error (one stdin source); --stdin with TTY → error; --file with nonexistent path → error; field appears both in parts AND via --stdin/--file → error (conflicting sources, ambiguous intent).
paradigm/audience-distinct-from-authorization                       mid    1   2  2026-05-20  Who is allowed to RECEIVE what a service emits is a different question from who is allowed to ACT against that service. Collapsing both into 'authorization' loses the distinction. The agent-as-compiler model closes act-side cleanly (signature binds exact payload, infra replays signed manifest, agent never holds active credential). It does NOT close receive-side: during discovery phase the agent reads via authorized API calls and the output flows into LLM context — if agent is compromised mid-discovery, the data exfiltration vector is open even though no write-side authorization is violated. Surfaced via Gemini exchange 2026-05-20 where Gemini wallpapered the read-side exfiltration gap with 'don't grant raw DB access' (true but evasive — API-mediated reads still leak whatever the API returns). Maps onto Phase 1 vocab walk — 'audience' was one of the four words still to walk (alongside principal, rescission, transport). This is the audience axis: act-side = who can invoke; receive-side = who can be told. Vouch design must address both, not conflate. Implication for libs/sign + libs/vouch: signature on an emission proves provenance (act-side); audience-scoping on a fact's visibility is a separate primitive (receive-side) that probably belongs in engine emit/receive flow rather than libs/sign. Discriminator for future design: when a vouch question lands, ask 'is this about who can act or who can receive?' before choosing primitives.
design/vouch-act-side-libssign-plus-l4                              mid    1   2  2026-05-23  Decision: vouch act-side = libs/sign canonical-bytes primitive + an L4 binding discipline. Answers the owed libs/sign-primitive-surface question. libs/sign signs canonical bytes (consumable by loops-engine AND Java, no loops deps); the L4 discipline is that those bytes ARE a compiled byte-deterministic execution artifact — not a scope/claim. Governance = byte-equality, no LLM between sign and execute. Wire = base Transaction Tokens (WG draft) carrying the manifest hash; vouch differentiates from the individual txtokens-for-agents draft, which binds tctx params not execution. Full landscape derivation + 4-level binding-target-spectrum lives in the agent-attestation vertex (sl read agent-attestation).
design/fact-signature-at-store-column                               mid    1   2  2026-06-12  Fact signature lives as a facts.signature column, NOT a Fact atom field. Kyle ratified 2026-06-12. Rationale: exact delta-2 posture — atoms stay pure, signer injected at store construction, envelope crosses atoms boundary only as read-side view fields. Commitment is content-only: sha256(canonical({kind,ts,payload,observer,origin})), excluding id/rowid — store-assigned identity is custody context, not authored content. This is what makes the signature transport-stable: a receiving store re-derives the commitment from the row and verifies against the observer registry without trusting the sender. Tick chain attests receipt (store-local); fact signature attests authorship (travels). Domain: loops-fact-v1 at the composing layer.
ops/jcs-reanchor-ceremony                                           mid    2   1  2026-06-12  CEREMONY CLOSED 2026-06-12: all five live signed stores re-anchored under JCS and verified — project (71 facts re-signed incl. the ceremony-open fact itself, 3 ticks, head d17307c9...), identity (1 fact, 2 ticks), session, comms/discord, comms/native (chain-only). Every store verifies chain-intact + signatures-checked against registry post-reanchor. Era boundaries held everywhere: pre-signature facts stayed NULL, legacy ticks untouched. The §8.7 conformance vectors are now unblocked — Python is on JCS, the bytes the vectors pin are the normative ones. Dry-run artifact cleaned.
design/next-release-0.4.0                                           mid    1   2  2026-06-14  Release-delta audit (workflow, 9 agents; loops v0.3.1..HEAD = 78 unreleased commits) → next loops release is 0.4.0. Pre-1.0 minor carries breaking (mirrors painted 0.1.8→0.2.0). The range is one coherent arc: the federated attestation substrate (tick hash chains, Ed25519 tick + per-observer fact signing, JCS/RFC 8785 canon, store verify/rebirth/reanchor, sl seal + the era-floor) plus the cli-refactor and read-path overhaul. Breaking surface is broad and PERSISTED, which rules patch out as dishonest: store schema +6 attestation columns and dropped ulid() default (id-supplied-at-INSERT); .vertex gained observers{key} + keys/ custody dirs; fold upsert flipped replace→merge across every by-fold kind; row ordering →(ts,id); Latest + numeric folds reject-not-coerce; dep swap sqlite-ulid→python-ulid + new rfc8785; JCS canon invalidates prior attestations until reanchor. Only the root pyproject version bumps (libs are not independently versioned). Full changelog draft + readiness + rebuild map live in docs/dev/rebuild-audit-0.4.0.md. THE GATE for tagging (gates the release AND the rebuild): the painted pin is uncapped (>=0.1.8) so fresh installs ALREADY pull 0.2.0 — loops must be validated against painted 0.2.0 first. Import-compat is verified clean (every deep path resolves; loops uses none of the removed names); behavior under 0.2.0's exact-width contract + the absence of goldens for the new lenses (trace/declarations/preview/walked) is unvalidated.
test/gate-results-painted-020                                       mid    1   2  2026-06-14  THE GATE run (painted 0.1.8->0.2.0, root pyproject bumped to >=0.2.0,<0.3, uv sync clean). RESULTS: (1) loops suite 1327 passed + 1 xfailed, ZERO golden drift — the framework bump did not break any loops rendering. Strong signal: loops' run_cli/lens path is forward-compatible with 0.2.0. (2) test_readiness_lens collection error = ORPHANED test (the 'readiness' lens source was dissolved; module gone since after 3c9d26b) — pre-existing, painted-independent; delete the test. (3) test_dashboard x7 in apps/TASKS = REAL painted-0.2.0 API drift, NOT pre-existing: CliContext.__init__() no longer accepts 'zoom' kwarg (signature changed in 0.2.0). The audit's 'illustrative' call was WRONG on these. This drift lands squarely on the rebuild KEYSTONE (the two CliContext classes must reconcile). loops escaped it only because loops constructs CliContext via run_cli, not directly; tasks constructs it directly in tests.
design/painted-budget-fields-stable-now                             mid    1   2  2026-06-15  A2: build painted's field-budget allocator as a stable painted.core.compose primitive NOW, minimal surface (fields,width,min_field,sep -> fitted text + dropped-count). Badge [+Nc] and empty-field fallback stay loops-side; commit to allocation contract not presentation. RATIONALE: clears the AUTO/Fill bar (real external PyPI consumer + general nameable contract + wcwidth fix is strictly better than loops' len()-buggy _render_preview copy). Painted's load-bearing premise accepted: a private symbol an external version-pinned consumer imports is de-facto public, so 'private-until-2nd-consumer' middle path doesn't exist -> clean either/or. GATE on the name: dissolution-test budget_fields vs resolve_column_widths; if allocation math is shared (columns-vs-fields framing only) it's ONE primitive two consumers not two stable names; if sep-cost + shrink-then-drop-below-MIN is genuinely distinct from column distribution, two names honest. Placement-independent signature forecloses nothing. This is the substrate for rebuild step5 (re-ground lenses, delete hand truncation).
design/store-help-dissolve-shipped                                  mid    1   2  2026-06-15  SHIPPED 443bdd6. store's 4 hand-rolled -h blocks dissolved. The named wrinkle (verify/rebirth/reanchor subcommands) was mostly redundant code: subcommand argparse parsers already had add_help=True, so parse_args owns -h natively — deleted the explicit blocks + unused _sys. -h now raises argparse SystemExit(0), propagates clean to exit 0 through run_app (verified on real CLI). Base inspect uses the help_args idiom; subcommand roster moved to run_cli description so 'sl store -h' still surfaces them. The 'file fights painted arg0->handler' fear didn't materialize: store IS one painted handler, subcommand routing is internal to it (argv[0] check), painted never sees the subcommands. 1327 green, zero drift.
design/record-line-dissolution-splits                               mid    1   2  2026-06-15  Step5-large crux (same shape as step5-small first-half): audit row 7 lumped '_render_item_line / trace headers / stream rows -> record_line+PayloadLens' as ONE dissolution. It is TWO. record_line models a TIMESTAMPED EVENT RECORD (HH:MM [kind] summary + secondary-field continuations, payload via PayloadLens). (a) GENUINE: stream.py + trace.py per-fact rows ARE exactly this (ts+kind+payload) -> dissolve into record_line/record_line_composed + gutter_freshness/lifecycle + attention fns. (b) PARTIAL/loops-side: fold.py _render_item_line label is the KEY-FIELD value not the kind, and its badge (xN <-N ->N recency) is computed from FOLD STRUCTURE (item.n, inbound Counter, item.refs) with no PayloadLens home. record_line cannot host the fold badge; fold dedupes loops-side at best.
design/stream-trace-record-line-shipped                             mid    1   2  2026-06-16  SHIPPED 0805235 (step5-large, stream/trace half). stream_view dissolved onto painted.record_line; trace normal-path dissolves transitively (already delegated to stream_view); _render_diff stays loops-side (cumulative scalar-delta contract, not ts+kind+payload — the trace analog of the fold badge). TWO contract conflicts hit + resolved: (1) width=None piped/no-truncation invariant -> grew painted 0.3.1 (record_line honors the natural-sizing escape Block.text already documents; record_line was the lone outlier). (2) DETAILED density: record_line shows only long/notable fields as continuation, short fields move to FULL; ADOPTED per Kyle's call (accept drift). Drift was MINIMAL+benign: test_log goldens regen (ISO ts at FULL, short fields->FULL, '…' truncation marker now signaled in CLI.md), one unit test split. Loops residue grafted cleanly: key_field summary via PayloadLens; id/observer/origin (non-payload) as continuation. 1325 green. OUTCOME vs pattern: same shape as step5-small + the original CLI-lens findings — the pitched 1:1 dissolution was actually genuine-core + honest-residue; the painted boundary needed ONE backward-compat widening, not a loops fork.
rendering/verify-disclosure-grammar-axes                            mid    1   2  2026-06-27  sl store verify output rebuilt on painted 0.4.x callout/Severity (disclosure-grammar tier-1, items a-f). LANDED: (b) covered-vs-signed de-conflated into three labeled orthogonal axes — chain (tick hash chain integrity), coverage (facts sealed under a tick window), authorship (per-fact signatures); all share /total_facts denominator so they stop reading as competing fractions. Verdict is the single SUCCESS/ERROR callout (glyph only where there's a real severity judgment); tripwires are WARNING callouts, breaks are ERROR callouts. DEFERRED: (c) tripwire severity stays WARNING pending thread:verify-strip-vs-presigning-detection. Tests: 'fact signatures: N signed'→'authorship N/T facts signed', 'checked'→'verified against registry' for chain axis; CHAIN BROKEN/FACT SIGNATURES BROKEN/window_hash preserved. 1339 green.
design/granularity-by-complete-key-address                          mid    1   2  2026-06-27  Granularity crux resolved (Kyles call, 2026-06-27): read returns a facts WHOLE body when addressed by a COMPLETE fold-key (read decision --key design/foo) -- unique within kind by the fold-upsert contract, so deterministic, NOT cardinality-dependent. A prefix (--key design/) or content-filter (--match) returns headlines. --full forces bodies for any N rows. Chosen over explicit-only (loses the one-shot win on a named fact) and auto-on-singular (the integrations original rule -- shape depends on result-set size, breaks addressed-read=body trust when a 2nd fact lands). Resolves stress risk #1 (granularity-by-cardinality). The other pre-build risk (FTS confirm asymmetry) resolves by steering confirm-after-emit to --last + a loud not-indexed coverage signal. Slice 1 (the Surface keystone) bakes this in.
design/views-fundamental-lens-is-a-render                           mid    1   2  2026-06-27  Vocabulary firmed (Kyle, 2026-06-27): the VIEW is the fundamental authoring unit — a named selection over the Surface, declared as data in a vertex views{} block; a LENS is demoted to "a render" — the optional Surface->Block encoder kernel a view references. view ⊋ lens: a Tier-A pure-selection view has no lens at all. Consequence for the vertex file: it declares TWO blocks not three — loops{} (the kinds+fold/search/preview vocabulary) + views{} (named selections over it). A lens is NEVER declared in the vertex, only referenced by name (render "X") and resolved as a Python module on the existing 4-tier path. lens{} dissolves into views{} (it was always the degenerate whole-surface view + custom render); kept as deprecated sugar compiling to a ViewDecl for one release, then LensDecl/_load_lens_block/VertexFile.lens are swept. Residue cleared same change: the stream pointer dies (stream verb dissolves, FTS re-binds onto read --match); the fold overload clears (loops.<kind>.fold stays fold-strategy by/collect, the render module is named by render not a second fold). Naming wart kept+flagged: selector flag stays --lens though it now resolves a view; no --view added (dead-surface discipline). Sharpens design/lens-is-the-interface (resolves its lens-means-three-things overload). Written into docs/dev/structured-surface-architecture-2026-06-27.md Lens-authoring story.
design/surface-spec-carries-transforms                              mid    1   2  2026-06-28  S4: read-grammar transforms flow through a dedicated Operation.surface_spec field (frozen SurfaceSpec: queried_key/full/key_or/where/observer/fields/limit/last/count_by/do_count), NOT render_context. Rationale: render_context flows into the lens as **extra kwargs (dispatch ~line 224), so a transform spec there would leak into lens kwargs. dispatch._project_surface applies the spec over the projected Surface in fixed order filter->select->count->budget; both --json (to_dict) and text (lens) go through the same seam so plain and json carry identical transformed rows. Deviates from the plan's render_context['_surface_ops'] wording — surface_spec is the coherent shape.
design/match-rebinds-onto-read-search-transform                     mid    1   2  2026-06-28  S5: content search re-binds from the dying stream verb onto read --match (alias --grep). Mechanism: SurfaceSpec.match carries the query; dispatch._project_surface runs surface.search() FIRST (it changes axis entity->event, so later filter/select/budget/count operate on matched event rows). search() has two disjoint sources: FTS5 (engine.vertex_search) over kinds declaring search= fields, returning RAW facts (event axis, every matching write); substring scan over projected rows of NON-indexed kinds (folded granularity). Window.unindexed records present-but-not-FTS kinds (coverage-K, superset of unfolded) -> lens footers '(K not indexed)'. fold lens gets an event-axis render branch when window.query set. Swept the dead query= branch from fetch_stream + stream.py (stream is now purely temporal); vertex_search ZERO in commands/.
